TrackName,ArtistName,MyRanking,GlobalPopularity,Loudness,Tempo
Congratulations,Post Malone,1,90,-4.215,123.071
Instinct (feat. MadeinTYO),Roy Woods,2,72,-7.132,84.04
Dangerous,Roy Woods,3,65,-12.82,124.007
Involved,Roy Woods,4,66,-8.326,97.984
Young,The Chainsmokers,5,77,-6.384,103.006
Don't Take The Money,Bleachers,6,69,-5.667,110.081
Low Tide,XY&O,7,68,-5.807,116.975
Do Not Disturb,Drake,8,48,-6.208,171.044
Take,Echos,9,56,-10.976,114.857
Losing It All,Imad Royal,10,46,-6.516,92.965
Magic,Roy Woods,11,62,-7.732,106.06
Chihiro,Yoste,12,63,-8.352,139.791
Comin Out Strong,Future,13,79,-7.775,108.761
White Iverson,Post Malone,14,80,-7.678,130.081
Ex Calling,6LACK,15,77,-7.545,156.018
Ciao Adios,Anne-Marie,16,85,-3.078,106.083
Now Or Never,Halsey,17,85,-4.902,110.075
Stardust (Forever Young),Emily Zeck,18,42,-3.662,100.015
Scared to Be Lonely,Martin Garrix,19,91,-7.786,137.972
Nights With You,MÌ÷,20,86,-4.029,120.06
Solo Dance,Martin Jensen,21,80,-2.432,114.955
Issues,Julia Michaels,22,85,-6.792,113.962
"How Far I'll Go - From ""Moana""",Alessia Cara,23,75,-9.671,179.484
Unforgettable,French Montana,24,97,-5.043,97.985
How Far I'll Go - Alessia Cara Version,Alessia Cara,25,69,-9.609,181.1
Lean On,Major Lazer,26,76,-3.081,98.007
Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,27,87,-4.661,121.03
In The Arms Of A Stranger - Grey Remix,Mike Posner,28,67,-3.633,104.994
Love You,Roy Woods,29,61,-10.414,203.893
Cold,Maroon 5,30,79,-6.295,99.909
Cruise,Kygo,31,61,-8.458,109.885
Final Song,MÌ÷,32,79,-6.109,104.988
Lust for Life (with The Weeknd),Lana Del Rey,33,75,-8.613,99.915
Four Seasons,Roy Woods,34,61,-10.822,141.979
Hurts So Good,Astrid S,35,69,-5.027,120.039
For What It's Worth,Kygo,36,65,-10.65,104.601
Blem,Drake,37,77,-8.062,98.017
Despacito - Remix,Luis Fonsi,38,95,-4.265,88.357
At My Best (feat. Hailee Steinfeld),Machine Gun Kelly,39,72,-6.638,169.909
J-Boy,Phoenix,40,64,-6.693,98.03
Sonic Boom,Roy Woods,41,52,-10.134,141.961
Paris,The Chainsmokers,42,87,-6.763,99.999
Someday,The Strokes,43,68,-7.46,106.031
Most Girls,Hailee Steinfeld,44,82,-7.082,102.974
Obsession (feat. Jon Bellion),Vice,45,64,-7.775,101.999
Drive,Oh Wonder,46,66,-8.315,141.742
Chilli Peppers (feat. Majid Jordan),Roy Woods,47,58,-5.933,139.909
All Time Low,Jon Bellion,48,76,-4.259,89.779
Switch,Roy Woods,49,60,-8.863,91.04
The System Only Dreams in Total Darkness,The National,50,67,-6.74,110.013
